nodeLatitude,nodeLongitude,latitudeOffset,longitudeOffset
40.0000000,7.6000000,1.00,-2.70
40.0000000,7.6666667,1.20,-2.50
40.0000000,7.7333333,1.40,-2.30
40.0000000,7.8000000,1.60,-2.10
40.0000000,7.8666667,1.80,-1.90
39.9500000,7.6000000,1.20,-2.74
39.9500000,7.6666667,1.40,-2.52
39.9500000,7.7333333,1.65,-2.31
39.9500000,7.8000000,1.83,-2.13
39.9500000,7.8666667,2.00,-1.92
39.9000000,7.6000000,1.40,-2.78
39.9000000,7.6666667,1.80,-2.53
39.9000000,7.7333333,2.00,-2.33
39.9000000,7.8000000,2.10,-2.14
39.9000000,7.8666667,2.20,-1.93
