id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,extent_wkt,displacementEast-min,displacementEast-max,displacementNorth-min,displacementNorth-max,displacementUp-min,displacementUp-max
0:0,nz_linz_nzgd2000-ndm-grid02,ndm_grid_nuvel1a_eez,,,73,67,1,"POLYGON((158.0 -58.0,158.0 -25.0,194.0 -25.0,194.0 -58.0, 158.0 -58.0))",-0.0595,0.0230,0.0261,0.0513,,
0:0:0,nz_linz_nzgd2000-ndm-grid02,ndm_grid_igns2011_nz,0:0,,141,151,2,"POLYGON((165.5 -48.0,165.5 -33.0,179.5 -33.0,179.5 -48.0, 165.5 -48.0))",-0.0453,0.0126,0.0108,0.0461,,
1:0,nz_linz_nzgd2000-si20030821-grid01,patch_si_20030821_grid_si_l1,,,44,34,1,"POLYGON((165.85 -47.625,165.85 -43.5,172.29999999999998 -43.5,172.29999999999998 -47.625, 165.85 -47.625))",-0.2539,0.0684,-0.1545,0.2089,-0.1093,0.7130
1:0:0,nz_linz_nzgd2000-si20030821-grid01,patch_si_20030821_grid_si_l2,1:0,,47,45,2,"POLYGON((166.225 -45.875,166.225 -44.5,167.95 -44.5,167.95 -45.875, 166.225 -45.875))",-0.2674,0.0708,-0.1902,0.2187,-0.1137,0.7130
1:0:0:0,nz_linz_nzgd2000-si20030821-grid01,patch_si_20030821_grid_si_l3,1:0:0,,93,81,3,"POLYGON((166.5625 -45.453125,166.5625 -44.828125,167.425 -44.828125,167.425 -45.453125, 166.5625 -45.453125))",-0.2703,0.0719,-0.1914,0.2193,-0.1145,0.7194
2:0,nz_linz_nzgd2000-mq20041223-grid011,patch_mq_20041223_grid_mq_p0_l1,,,10,8,1,"POLYGON((168.4 -53.0,168.4 -52.125,169.75 -52.125,169.75 -53.0, 168.4 -53.0))",-0.0142,0.0000,0.0000,0.0064,0.0000,0.0057
3:0,nz_linz_nzgd2000-mq20041223-grid012,patch_mq_20041223_grid_mq_p1_sl2,,,105,137,1,"POLYGON((158.8 -52.5,158.8 -48.25,162.70000000000002 -48.25,162.70000000000002 -52.5, 158.8 -52.5))",-0.8897,1.4320,-1.5202,1.8189,-0.7457,0.7079
4:0,nz_linz_nzgd2000-mq20041223-grid013,patch_mq_20041223_grid_mq_p2_l1,,,11,11,1,"POLYGON((165.4 -51.375,165.4 -50.125,166.9 -50.125,166.9 -51.375, 165.4 -51.375))",-0.0325,0.0000,0.0000,0.0162,0.0000,0.0116
5:0,nz_linz_nzgd2000-mq20041223-grid014,patch_mq_20041223_grid_mq_p3_l1,,,9,8,1,"POLYGON((178.15 -50.125,178.15 -49.25,179.35 -49.25,179.35 -50.125, 178.15 -50.125))",-0.0021,0.0000,0.0000,0.0011,0.0000,0.0008
6:0,nz_linz_nzgd2000-mq20041223-grid015,patch_mq_20041223_grid_mq_p4_l1,,,70,68,1,"POLYGON((165.85 -48.5,165.85 -40.125,176.2 -40.125,176.2 -48.5, 165.85 -48.5))",0.0000,0.0063,0.0000,0.0146,-0.0048,0.0000
7:0,nz_linz_nzgd2000-mq20041223-grid016,patch_mq_20041223_grid_mq_p5_l1,,,8,7,1,"POLYGON((178.45 -48.125,178.45 -47.375,179.5 -47.375,179.5 -48.125, 178.45 -48.125))",-0.0011,0.0000,0.0000,0.0011,0.0000,0.0003
8:0,nz_linz_nzgd2000-gs20071016-grid01,patch_gs_20071016_grid_gs_l1,,,37,27,1,"POLYGON((165.85 -47.0,165.85 -43.75,171.25 -43.75,171.25 -47.0, 165.85 -47.0))",-0.0943,0.0139,-0.0942,0.0367,-0.0330,0.2117
