group,grid,ngridi,ngridj,type,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
National Transformation v2_0,CAeast,529,241,float32,"POLYGON((-88.0 40.0,-88.0 60.0,-44.0 60.0,-44.0 40.0, -88.0 40.0))",-1.2413,2.7054,-6.5361,0.5286,0.0000,13.3550,0.0000,8.7160
National Transformation v2_0,NFstjohn,81,51,float32,"POLYGON((-53.0 47.416666666666664,-53.0 47.83333333333333,-52.333333333333336 47.83333333333333,-52.333333333333336 47.416666666666664, -53.0 47.416666666666664))",-0.2300,-0.1928,-3.5403,-3.4778,0.0010,0.2220,0.0010,0.1600
National Transformation v2_0,ONkinstn,321,321,float32,"POLYGON((-78.83333333333334 43.833333333333336,-78.83333333333334 46.5,-76.16666666666667 46.5,-76.16666666666667 43.833333333333336, -78.83333333333334 43.833333333333336))",0.1766,0.2312,-1.1669,-0.7103,0.0000,0.4020,0.0000,0.6880
National Transformation v2_0,ONottawa,221,201,float32,"POLYGON((-76.16666666666667 44.25,-76.16666666666667 45.916666666666664,-74.33333333333334 45.916666666666664,-74.33333333333334 44.25, -76.16666666666667 44.25))",0.1514,0.2104,-1.3913,-1.1062,0.0000,0.2000,0.0000,0.1110
National Transformation v2_0,ONsarnia,101,121,float32,"POLYGON((-82.58333333333334 42.416666666666664,-82.58333333333334 43.416666666666664,-81.75000000000001 43.416666666666664,-81.75000000000001 42.416666666666664, -82.58333333333334 42.416666666666664))",0.1327,0.1669,-0.4211,-0.2829,0.0000,0.0850,0.0010,0.1110
National Transformation v2_0,ONsault,351,71,float32,"POLYGON((-84.66666666666667 46.08333333333333,-84.66666666666667 46.666666666666664,-81.75 46.666666666666664,-81.75 46.08333333333333, -84.66666666666667 46.08333333333333))",0.0997,0.1567,-0.3805,-0.0285,0.0010,0.5700,0.0000,0.1870
National Transformation v2_0,ONtimins,101,41,float32,"POLYGON((-81.66666666666667 48.33333333333333,-81.66666666666667 48.666666666666664,-80.83333333333334 48.666666666666664,-80.83333333333334 48.33333333333333, -81.66666666666667 48.33333333333333))",0.2829,0.3134,-0.3989,-0.2615,0.0010,0.0630,0.0010,0.0600
National Transformation v2_0,ONtronto,351,511,float32,"POLYGON((-81.75 42.416666666666664,-81.75 46.666666666666664,-78.83333333333333 46.666666666666664,-78.83333333333333 42.416666666666664, -81.75 42.416666666666664))",0.1146,0.2321,-0.8160,-0.3526,0.0000,0.9030,0.0000,0.4330
National Transformation v2_0,ONwinsor,171,61,float32,"POLYGON((-83.16666666666667 41.916666666666664,-83.16666666666667 42.416666666666664,-81.75 42.416666666666664,-81.75 41.916666666666664, -83.16666666666667 41.916666666666664))",0.1454,0.1682,-0.4287,-0.2496,0.0010,0.1600,0.0000,0.2570
National Transformation v2_0,CAwest,649,157,float32,"POLYGON((-142.0 47.0,-142.0 60.0,-88.0 60.0,-88.0 47.0, -142.0 47.0))",-2.2938,1.8989,-0.5606,8.4332,0.0000,13.3600,0.0000,8.9690
National Transformation v2_0,ALbanff,11,21,float32,"POLYGON((-115.58333333333334 51.083333333333336,-115.58333333333334 51.25,-115.50000000000001 51.25,-115.50000000000001 51.083333333333336, -115.58333333333334 51.083333333333336))",0.0741,0.0879,3.7373,3.7737,0.0030,0.1300,0.0060,0.0580
National Transformation v2_0,ALbarhed,21,11,float32,"POLYGON((-114.5 54.08333333333333,-114.5 54.166666666666664,-114.33333333333333 54.166666666666664,-114.33333333333333 54.08333333333333, -114.5 54.08333333333333))",0.2634,0.2722,3.7892,3.8181,0.0010,0.0050,0.0000,0.0050
National Transformation v2_0,ALbonvil,31,21,float32,"POLYGON((-110.83333333333334 54.166666666666664,-110.83333333333334 54.33333333333333,-110.58333333333334 54.33333333333333,-110.58333333333334 54.166666666666664, -110.83333333333334 54.166666666666664))",0.2507,0.3321,3.1151,3.2152,0.0040,0.9000,0.0030,0.4190
National Transformation v2_0,ALbowisl,31,11,float32,"POLYGON((-111.5 49.83333333333333,-111.5 49.916666666666664,-111.25 49.916666666666664,-111.25 49.83333333333333, -111.5 49.83333333333333))",0.1043,0.1210,3.0935,3.1410,0.0010,0.0710,0.0020,0.1380
National Transformation v2_0,ALbrooks,31,21,float32,"POLYGON((-112.0 50.5,-112.0 50.666666666666664,-111.75 50.666666666666664,-111.75 50.5, -112.0 50.5))",0.1884,0.2043,3.1844,3.2419,0.0010,0.1880,0.0030,0.1580
National Transformation v2_0,ALcalgry,101,101,float32,"POLYGON((-114.58333333333334 50.49999999999999,-114.58333333333334 51.33333333333333,-113.75000000000001 51.33333333333333,-113.75000000000001 50.49999999999999, -114.58333333333334 50.49999999999999))",0.1495,0.2091,3.5278,3.6422,0.0000,0.9750,0.0000,1.0410
National Transformation v2_0,ALcamros,41,31,float32,"POLYGON((-113.0 52.83333333333333,-113.0 53.08333333333333,-112.66666666666667 53.08333333333333,-112.66666666666667 52.83333333333333, -113.0 52.83333333333333))",0.2354,0.2634,3.4704,3.5461,0.0020,0.0670,0.0010,0.1540
National Transformation v2_0,ALcanmor,31,21,float32,"POLYGON((-115.5 51.0,-115.5 51.166666666666664,-115.25 51.166666666666664,-115.25 51.0, -115.5 51.0))",0.0813,0.1022,3.6841,3.7468,0.0030,0.0880,0.0050,0.0590
National Transformation v2_0,ALcardst,31,11,float32,"POLYGON((-113.41666666666667 49.166666666666664,-113.41666666666667 49.25,-113.16666666666667 49.25,-113.16666666666667 49.166666666666664, -113.41666666666667 49.166666666666664))",-0.0841,-0.0382,3.3818,3.4472,0.0060,0.4440,0.0050,0.2520
National Transformation v2_0,ALcarsta,31,21,float32,"POLYGON((-114.25 51.5,-114.25 51.666666666666664,-114.0 51.666666666666664,-114.0 51.5, -114.25 51.5))",0.1869,0.2027,3.5719,3.6077,0.0010,0.0680,0.0010,0.1260
National Transformation v2_0,ALclarho,31,21,float32,"POLYGON((-113.66666666666667 49.916666666666664,-113.66666666666667 50.08333333333333,-113.41666666666667 50.08333333333333,-113.41666666666667 49.916666666666664, -113.66666666666667 49.916666666666664))",0.0212,0.0499,3.4460,3.5229,0.0170,0.1230,0.0180,0.1900
National Transformation v2_0,ALcoldlk,31,31,float32,"POLYGON((-110.33333333333334 54.33333333333333,-110.33333333333334 54.58333333333333,-110.08333333333334 54.58333333333333,-110.08333333333334 54.33333333333333, -110.33333333333334 54.33333333333333))",0.3020,0.3223,3.0292,3.1018,0.0010,0.1830,0.0020,0.0820
National Transformation v2_0,ALcrowps,71,31,float32,"POLYGON((-114.75 49.5,-114.75 49.75,-114.16666666666667 49.75,-114.16666666666667 49.5, -114.75 49.5))",-0.0015,0.0490,3.4989,3.6435,0.0000,0.5740,0.0000,0.7660
National Transformation v2_0,ALdraytn,31,31,float32,"POLYGON((-115.08333333333334 53.08333333333333,-115.08333333333334 53.33333333333333,-114.83333333333334 53.33333333333333,-114.83333333333334 53.08333333333333, -115.08333333333334 53.08333333333333))",0.2010,0.2251,3.7987,3.8671,0.0080,0.2310,0.0050,0.4050
National Transformation v2_0,ALdrumhl,61,41,float32,"POLYGON((-112.91666666666667 51.24999999999999,-112.91666666666667 51.58333333333333,-112.41666666666667 51.58333333333333,-112.41666666666667 51.24999999999999, -112.91666666666667 51.24999999999999))",0.2224,0.2322,3.3137,3.4003,0.0000,0.1070,0.0010,0.1650
National Transformation v2_0,ALedmntn,131,91,float32,"POLYGON((-114.16666666666667 53.166666666666664,-114.16666666666667 53.916666666666664,-113.08333333333334 53.916666666666664,-113.08333333333334 53.166666666666664, -114.16666666666667 53.166666666666664))",0.2167,0.2733,3.5638,3.7410,0.0000,0.1660,0.0000,0.2680
National Transformation v2_0,ALedson,41,21,float32,"POLYGON((-116.58333333333334 53.5,-116.58333333333334 53.666666666666664,-116.25000000000001 53.666666666666664,-116.25000000000001 53.5, -116.58333333333334 53.5))",0.2444,0.2674,4.0764,4.1510,0.0060,0.1530,0.0040,0.1900
