nodeLatitude,nodeLongitude,geoidHeight
15,-69,-29.2936
15,-68.9833333,-29.3314
15,-68.9666667,-29.371
15,-68.95,-29.4121
15,-68.9333333,-29.454
15,-68.9166667,-29.4965
15,-68.9,-29.5382
15,-68.8833333,-29.5807
15,-68.8666667,-29.6233
15,-68.85,-29.666
15,-68.8333333,-29.709
15,-68.8166667,-29.7522
15,-68.8,-29.7956
15,-68.7833333,-29.8397
15,-68.7666667,-29.8846
15,-68.75,-29.9301
15,-68.7333333,-29.976
15,-68.7166667,-30.0219
15,-68.7,-30.0676
15,-68.6833333,-30.1131
15,-68.6666667,-30.158
15,-68.65,-30.2043
15,-68.6333333,-30.2515
15,-68.6166667,-30.2996
15,-68.6,-30.3485
15,-68.5833333,-30.3981
15,-68.5666667,-30.4482
15,-68.55,-30.4983
15,-68.5333333,-30.5479
15,-68.5166667,-30.5963
15,-68.5,-30.6433
15,-68.4833333,-30.6891
15,-68.4666667,-30.7339
15,-68.45,-30.7784
15,-68.4333333,-30.8231
15,-68.4166667,-30.8675
15,-68.4,-30.9141
15,-68.3833333,-30.9621
15,-68.3666667,-31.0113
15,-68.35,-31.0609
15,-68.3333333,-31.1101
15,-68.3166667,-31.1578
15,-68.3,-31.2036
15,-68.2833333,-31.2474
15,-68.2666667,-31.2896
15,-68.25,-31.3309
15,-68.2333333,-31.3724
15,-68.2166667,-31.4152
15,-68.2,-31.4594
15,-68.1833333,-31.5058
15,-68.1666667,-31.5531
15,-68.15,-31.5999
15,-68.1333333,-31.6471
15,-68.1166667,-31.693
15,-68.1,-31.7369
15,-68.0833333,-31.779
15,-68.0666667,-31.8197
15,-68.05,-31.8595
15,-68.0333333,-31.8992
15,-68.0166667,-31.9393
15,-68,-31.9807
15,-67.9833333,-32.0233
15,-67.9666667,-32.0674
15,-67.95,-32.1128
15,-67.9333333,-32.1593
15,-67.9166667,-32.2063
15,-67.9,-32.2535
15,-67.8833333,-32.2999
15,-67.8666667,-32.3471
15,-67.85,-32.3942
15,-67.8333333,-32.4414
15,-67.8166667,-32.4888
15,-67.8,-32.5369
15,-67.7833333,-32.586
15,-67.7666667,-32.6366
15,-67.75,-32.6891
15,-67.7333333,-32.7433
15,-67.7166667,-32.799
15,-67.7,-32.8549
15,-67.6833333,-32.911
15,-67.6666667,-32.9671
15,-67.65,-33.023
15,-67.6333333,-33.0787
15,-67.6166667,-33.134
15,-67.6,-33.1875
15,-67.5833333,-33.2407
15,-67.5666667,-33.2927
15,-67.55,-33.3436
15,-67.5333333,-33.3943
15,-67.5166667,-33.4449
15,-67.5,-33.4954
15,-67.4833333,-33.5454
15,-67.4666667,-33.5942
15,-67.45,-33.6411
15,-67.4333333,-33.6861
15,-67.4166667,-33.7288
15,-67.4,-33.7702
15,-67.3833333,-33.8103
15,-67.3666667,-33.8494
15,-67.35,-33.8882
15,-67.3333333,-33.9269
15,-67.3166667,-33.9653
15,-67.3,-34.0023
15,-67.2833333,-34.0391
15,-67.2666667,-34.074
15,-67.25,-34.1062
15,-67.2333333,-34.1349
15,-67.2166667,-34.1604
15,-67.2,-34.1828
15,-67.1833333,-34.2028
15,-67.1666667,-34.2205
15,-67.15,-34.2367
15,-67.1333333,-34.2515
15,-67.1166667,-34.2652
15,-67.1,-34.2783
15,-67.0833333,-34.2901
15,-67.0666667,-34.3003
15,-67.05,-34.3087
15,-67.0333333,-34.3151
15,-67.0166667,-34.3193
15,-67,-34.3221
15,-66.9833333,-34.3238
15,-66.9666667,-34.3236
15,-66.95,-34.3246
15,-66.9333333,-34.3259
15,-66.9166667,-34.3277
15,-66.9,-34.3296
15,-66.8833333,-34.3313
15,-66.8666667,-34.3321
15,-66.85,-34.3321
15,-66.8333333,-34.3312
15,-66.8166667,-34.3297
15,-66.8,-34.3283
15,-66.7833333,-34.3278
15,-66.7666667,-34.3292
15,-66.75,-34.3332
