lat,lon,de,dn,du
54.0,-142.0,0.03318,-0.03116,0.0
54.25,-142.0,0.03327,-0.03085,0.0
54.5,-142.0,0.03335,-0.03053,0.0
54.75,-142.0,0.03342,-0.03021,0.0
55.0,-142.0,0.03348,-0.02989,0.0
55.25,-142.0,0.03363,-0.02957,0.0
55.5,-142.0,0.03379,-0.02922,0.0
55.75,-142.0,0.03394,-0.02887,0.0
56.0,-142.0,0.03413,-0.02846,0.0
56.25,-142.0,0.03421,-0.02822,0.0
56.5,-142.0,0.03435,-0.02791,0.0
56.75,-142.0,0.03451,-0.02758,0.0
57.0,-142.0,0.03484,-0.02711,0.0
57.25,-142.0,0.03446,-0.02711,0.0
57.5,-142.0,0.03427,-0.02698,0.0
57.75,-142.0,0.03411,-0.02679,0.0
58.0,-142.0,0.03422,-0.02643,0.0
58.25,-142.0,0.03314,-0.02675,0.0
58.5,-142.0,0.0322,-0.02701,0.0
58.75,-142.0,0.03113,-0.02771,0.0
59.0,-142.0,0.0295,-0.03237,0.0
59.25,-142.0,0.02889,-0.03277,0.0
59.5,-142.0,0.02862,-0.03249,0.0
59.75,-142.0,-0.01517,-0.01107,0.0
60.0,-142.0,-0.01508,-0.01133,0.0
60.25,-142.0,-0.01399,-0.0112,0.0
60.5,-142.0,-0.01287,-0.01104,0.0
60.75,-142.0,-0.01229,-0.01111,0.0
61.0,-142.0,-0.01215,-0.01125,0.0
61.25,-142.0,-0.01277,-0.01165,0.0
61.5,-142.0,-0.01359,-0.01204,0.0
61.75,-142.0,-0.01446,-0.01173,0.0
62.0,-142.0,-0.01655,-0.01021,0.0
62.25,-142.0,-0.01746,-0.00962,0.0
62.5,-142.0,-0.01804,-0.0093,0.0
62.75,-142.0,-0.01823,-0.00896,0.0
63.0,-142.0,-0.01846,-0.00879,0.0
63.25,-142.0,-0.01836,-0.0087,0.0
63.5,-142.0,-0.01818,-0.00865,0.0
63.75,-142.0,-0.02004,-0.01131,0.0
64.0,-142.0,-0.01985,-0.01133,0.0
54.0,-141.75,0.03317,-0.03105,0.0
54.25,-141.75,0.03323,-0.03074,0.0
54.5,-141.75,0.03331,-0.03043,0.0
54.75,-141.75,0.03338,-0.03011,0.0
55.0,-141.75,0.03347,-0.02979,0.0
55.25,-141.75,0.03361,-0.02946,0.0
55.5,-141.75,0.03375,-0.02912,0.0
55.75,-141.75,0.03391,-0.02877,0.0
56.0,-141.75,0.03407,-0.02841,0.0
56.25,-141.75,0.03417,-0.02815,0.0
56.5,-141.75,0.03428,-0.02784,0.0
56.75,-141.75,0.03443,-0.02754,0.0
57.0,-141.75,0.03456,-0.02721,0.0
57.25,-141.75,0.03433,-0.02711,0.0
57.5,-141.75,0.03411,-0.027,0.0
57.75,-141.75,0.03393,-0.02686,0.0
58.0,-141.75,0.03369,-0.02671,0.0
58.25,-141.75,0.03288,-0.02689,0.0
58.5,-141.75,0.03189,-0.02724,0.0
58.75,-141.75,0.03151,-0.0277,0.0
59.0,-141.75,0.02935,-0.03257,0.0
59.25,-141.75,0.02871,-0.03283,0.0
59.5,-141.75,0.02845,-0.03257,0.0
59.75,-141.75,0.02841,-0.03218,0.0
60.0,-141.75,-0.01456,-0.01154,0.0
60.25,-141.75,-0.01344,-0.01137,0.0
60.5,-141.75,-0.01235,-0.01121,0.0
60.75,-141.75,-0.01183,-0.01121,0.0
61.0,-141.75,-0.01189,-0.01137,0.0
61.25,-141.75,-0.01255,-0.01167,0.0
61.5,-141.75,-0.01363,-0.01204,0.0
61.75,-141.75,-0.01493,-0.01089,0.0
62.0,-141.75,-0.01675,-0.00965,0.0
62.25,-141.75,-0.01744,-0.00941,0.0
62.5,-141.75,-0.01795,-0.00918,0.0
62.75,-141.75,-0.01823,-0.00899,0.0
63.0,-141.75,-0.01845,-0.00889,0.0
63.25,-141.75,-0.01833,-0.00881,0.0
63.5,-141.75,-0.01815,-0.00876,0.0
63.75,-141.75,-0.01997,-0.01142,0.0
64.0,-141.75,-0.01978,-0.01143,0.0
54.0,-141.5,0.03314,-0.03093,0.0
54.25,-141.5,0.0332,-0.03064,0.0
54.5,-141.5,0.03328,-0.03033,0.0
54.75,-141.5,0.03337,-0.03,0.0
55.0,-141.5,0.03346,-0.02967,0.0
55.25,-141.5,0.03359,-0.02935,0.0
55.5,-141.5,0.03373,-0.02901,0.0
55.75,-141.5,0.03388,-0.02868,0.0
56.0,-141.5,0.03402,-0.02834,0.0
56.25,-141.5,0.03412,-0.02806,0.0
56.5,-141.5,0.03421,-0.02778,0.0
56.75,-141.5,0.03434,-0.02749,0.0
57.0,-141.5,0.03441,-0.02722,0.0
57.25,-141.5,0.03419,-0.02712,0.0
57.5,-141.5,0.03393,-0.02704,0.0
57.75,-141.5,0.03371,-0.02693,0.0
58.0,-141.5,0.03338,-0.02688,0.0
58.25,-141.5,0.0326,-0.02706,0.0
58.5,-141.5,0.03155,-0.02754,0.0
58.75,-141.5,0.02901,-0.03273,0.0
59.0,-141.5,0.02897,-0.03285,0.0
59.25,-141.5,0.02846,-0.03293,0.0
59.5,-141.5,0.02824,-0.03267,0.0
59.75,-141.5,0.02822,-0.03231,0.0
60.0,-141.5,-0.01419,-0.01182,0.0
60.25,-141.5,-0.01288,-0.0115,0.0
60.5,-141.5,-0.01184,-0.01135,0.0
60.75,-141.5,-0.0114,-0.01135,0.0
61.0,-141.5,-0.01156,-0.01147,0.0
61.25,-141.5,-0.01231,-0.01168,0.0
61.5,-141.5,-0.01389,-0.01176,0.0
61.75,-141.5,-0.01432,-0.00973,0.0
62.0,-141.5,-0.01666,-0.00941,0.0
62.25,-141.5,-0.01742,-0.0093,0.0
62.5,-141.5,-0.01787,-0.00914,0.0
62.75,-141.5,-0.01821,-0.00904,0.0
63.0,-141.5,-0.01842,-0.00897,0.0
63.25,-141.5,-0.0183,-0.00891,0.0
63.5,-141.5,-0.01812,-0.00885,0.0
63.75,-141.5,-0.0199,-0.01152,0.0
64.0,-141.5,-0.01971,-0.01153,0.0
54.0,-141.25,0.03309,-0.03084,0.0
54.25,-141.25,0.03316,-0.03053,0.0
54.5,-141.25,0.03324,-0.03022,0.0
54.75,-141.25,0.03333,-0.0299,0.0
55.0,-141.25,0.03342,-0.02957,0.0
55.25,-141.25,0.03355,-0.02925,0.0
55.5,-141.25,0.03369,-0.02893,0.0
55.75,-141.25,0.03384,-0.02858,0.0
56.0,-141.25,0.034,-0.02823,0.0
56.25,-141.25,0.03405,-0.02798,0.0
56.5,-141.25,0.03412,-0.02773,0.0
56.75,-141.25,0.03423,-0.02746,0.0
57.0,-141.25,0.03432,-0.0272,0.0
57.25,-141.25,0.03403,-0.02713,0.0
57.5,-141.25,0.03374,-0.02707,0.0
57.75,-141.25,0.03348,-0.02701,0.0
58.0,-141.25,0.03316,-0.027,0.0
58.25,-141.25,0.0323,-0.02724,0.0
58.5,-141.25,0.03117,-0.02791,0.0
58.75,-141.25,0.02949,-0.03239,0.0
59.0,-141.25,0.02852,-0.03313,0.0
59.25,-141.25,0.02818,-0.03305,0.0
59.5,-141.25,0.028,-0.03276,0.0
59.75,-141.25,0.02793,-0.03245,0.0
60.0,-141.25,-0.01381,-0.01198,0.0
60.25,-141.25,-0.01226,-0.01163,0.0
