nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
56.0,-170.0,-0.02037,-0.00647,0.0
56.25,-170.0,-0.02107,-0.00618,0.0
56.5,-170.0,-0.02177,-0.0059,0.0
56.75,-170.0,-0.0226,-0.0056,0.0
57.0,-170.0,-0.02326,-0.00531,0.0
57.25,-170.0,-0.02339,-0.00503,0.0
57.5,-170.0,-0.02336,-0.00475,0.0
57.75,-170.0,-0.02341,-0.00446,0.0
58.0,-170.0,-0.02348,-0.00418,0.0
58.25,-170.0,-0.02358,-0.00389,0.0
58.5,-170.0,-0.02369,-0.00361,0.0
58.75,-170.0,-0.0238,-0.00332,0.0
59.0,-170.0,-0.02391,-0.00304,0.0
59.25,-170.0,-0.02402,-0.00276,0.0
59.5,-170.0,-0.02411,-0.00249,0.0
59.75,-170.0,-0.0242,-0.00223,0.0
60.0,-170.0,-0.02428,-0.00197,0.0
60.25,-170.0,-0.02435,-0.00173,0.0
60.5,-170.0,-0.02441,-0.0015,0.0
60.75,-170.0,-0.02447,-0.00128,0.0
61.0,-170.0,-0.02453,-0.00108,0.0
61.25,-170.0,-0.02459,-0.0009,0.0
61.5,-170.0,-0.02466,-0.00074,0.0
61.75,-170.0,-0.02474,-0.00061,0.0
62.0,-170.0,-0.02482,-0.00049,0.0
62.25,-170.0,-0.0249,-0.00039,0.0
62.5,-170.0,-0.02498,-0.00031,0.0
62.75,-170.0,-0.02506,-0.00024,0.0
63.0,-170.0,-0.02512,-0.00019,0.0
63.25,-170.0,-0.02517,-0.00014,0.0
63.5,-170.0,-0.02521,-0.0001,0.0
63.75,-170.0,-0.02522,-7e-05,0.0
64.0,-170.0,-0.02522,-5e-05,0.0
64.25,-170.0,-0.02521,-3e-05,0.0
64.5,-170.0,-0.02518,-2e-05,0.0
64.75,-170.0,-0.02515,-2e-05,0.0
65.0,-170.0,-0.02512,-3e-05,0.0
65.25,-170.0,-0.0251,-3e-05,0.0
65.5,-170.0,-0.02513,-4e-05,0.0
65.75,-170.0,-0.02524,-6e-05,0.0
66.0,-170.0,-0.02539,-7e-05,0.0
66.25,-170.0,-0.02556,-9e-05,0.0
66.5,-170.0,-0.02574,-0.0001,0.0
66.75,-170.0,-0.02591,-0.00012,0.0
67.0,-170.0,-0.02607,-0.00013,0.0
67.25,-170.0,-0.02622,-0.00014,0.0
67.5,-170.0,-0.02635,-0.00016,0.0
67.75,-170.0,-0.02646,-0.00017,0.0
68.0,-170.0,-0.02656,-0.00017,0.0
68.25,-170.0,-0.02664,-0.00018,0.0
68.5,-170.0,-0.02671,-0.00019,0.0
68.75,-170.0,-0.02677,-0.00019,0.0
69.0,-170.0,-0.02682,-0.00019,0.0
69.25,-170.0,-0.02687,-0.00019,0.0
69.5,-170.0,-0.02691,-0.00018,0.0
69.75,-170.0,-0.02696,-0.00017,0.0
70.0,-170.0,-0.02701,-0.00015,0.0
70.25,-170.0,-0.02707,-0.00013,0.0
70.5,-170.0,-0.02714,-0.0001,0.0
70.75,-170.0,-0.02724,-6e-05,0.0
71.0,-170.0,-0.02736,0.0,0.0
71.25,-170.0,-0.02752,7e-05,0.0
71.5,-170.0,-0.02772,0.00016,0.0
71.75,-170.0,-0.02798,0.00028,0.0
72.0,-170.0,-0.02829,0.00042,0.0
72.25,-170.0,-0.02867,0.00058,0.0
72.5,-170.0,-0.02911,0.00078,0.0
72.75,-170.0,-0.02963,0.001,0.0
