nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
56.5,-150.0,0.03734,-0.03119,0.0
56.75,-150.0,0.035,-0.03056,0.0
57.0,-150.0,0.03299,-0.02989,0.0
57.25,-150.0,0.03131,-0.02907,0.0
57.5,-150.0,0.02986,-0.02819,0.0
57.75,-150.0,0.0285,-0.02734,0.0
58.0,-150.0,0.02714,-0.02652,0.0
58.25,-150.0,0.02571,-0.02571,0.0
58.5,-150.0,0.02419,-0.02489,0.0
58.75,-150.0,0.02256,-0.02403,0.0
59.0,-150.0,0.02071,-0.02304,0.0
59.25,-150.0,0.01828,-0.02175,0.0
59.5,-150.0,0.01393,-0.0198,0.0
59.75,-150.0,0.00443,-0.01699,0.0
60.0,-150.0,0.00536,-0.01937,0.0
60.25,-150.0,0.0016,-0.02016,0.0
60.5,-150.0,-0.00516,-0.01595,0.0
60.75,-150.0,-0.00951,-0.01637,0.0
61.0,-150.0,-0.01542,-0.01426,0.0
61.25,-150.0,-0.01776,-0.01197,0.0
61.5,-150.0,-0.01717,-0.01214,0.0
61.75,-150.0,-0.02147,-0.01189,0.0
62.0,-150.0,-0.02311,-0.01162,0.0
62.25,-150.0,-0.02296,-0.01212,0.0
62.5,-150.0,-0.02348,-0.01208,0.0
62.75,-150.0,-0.02457,-0.01153,0.0
63.0,-150.0,-0.0262,-0.01069,0.0
56.5,-149.75,0.03757,-0.03136,0.0
56.75,-149.75,0.03523,-0.03073,0.0
57.0,-149.75,0.03321,-0.03008,0.0
57.25,-149.75,0.03155,-0.02925,0.0
57.5,-149.75,0.03011,-0.02836,0.0
57.75,-149.75,0.02876,-0.02751,0.0
58.0,-149.75,0.0274,-0.02669,0.0
58.25,-149.75,0.02597,-0.02589,0.0
58.5,-149.75,0.02446,-0.02507,0.0
58.75,-149.75,0.02284,-0.02422,0.0
59.0,-149.75,0.02101,-0.02324,0.0
59.25,-149.75,0.01867,-0.02199,0.0
59.5,-149.75,0.01487,-0.02021,0.0
59.75,-149.75,0.00834,-0.01607,0.0
60.0,-149.75,0.00642,-0.01984,0.0
60.25,-149.75,0.00234,-0.02053,0.0
60.5,-149.75,-0.006,-0.01692,0.0
60.75,-149.75,-0.00887,-0.01675,0.0
61.0,-149.75,-0.01506,-0.01516,0.0
61.25,-149.75,-0.01505,-0.0117,0.0
61.5,-149.75,-0.01842,-0.01273,0.0
61.75,-149.75,-0.02176,-0.01234,0.0
62.0,-149.75,-0.02294,-0.01176,0.0
62.25,-149.75,-0.02259,-0.01241,0.0
62.5,-149.75,-0.02317,-0.01234,0.0
62.75,-149.75,-0.02429,-0.01176,0.0
63.0,-149.75,-0.02569,-0.01079,0.0
56.5,-149.5,0.03775,-0.0315,0.0
56.75,-149.5,0.0354,-0.03089,0.0
57.0,-149.5,0.03337,-0.03029,0.0
57.25,-149.5,0.03175,-0.02942,0.0
57.5,-149.5,0.03035,-0.02852,0.0
57.75,-149.5,0.02902,-0.02768,0.0
58.0,-149.5,0.02768,-0.02687,0.0
58.25,-149.5,0.02626,-0.02607,0.0
58.5,-149.5,0.02476,-0.02527,0.0
58.75,-149.5,0.02316,-0.02443,0.0
59.0,-149.5,0.02141,-0.02348,0.0
59.25,-149.5,0.01928,-0.02232,0.0
59.5,-149.5,0.01627,-0.02074,0.0
59.75,-149.5,0.01226,-0.01711,0.0
60.0,-149.5,0.01114,-0.01934,0.0
60.25,-149.5,0.00381,-0.0208,0.0
60.5,-149.5,-0.00198,-0.01735,0.0
60.75,-149.5,-0.00735,-0.01723,0.0
61.0,-149.5,-0.01382,-0.01574,0.0
61.25,-149.5,-0.01803,-0.01465,0.0
61.5,-149.5,-0.01979,-0.01379,0.0
61.75,-149.5,-0.0219,-0.01307,0.0
62.0,-149.5,-0.0226,-0.01204,0.0
62.25,-149.5,-0.02201,-0.01286,0.0
62.5,-149.5,-0.02276,-0.0127,0.0
62.75,-149.5,-0.024,-0.01207,0.0
63.0,-149.5,-0.02523,-0.01098,0.0
56.5,-149.25,0.03789,-0.03162,0.0
56.75,-149.25,0.03553,-0.03104,0.0
57.0,-149.25,0.03346,-0.03058,0.0
57.25,-149.25,0.03192,-0.02958,0.0
57.5,-149.25,0.03058,-0.02867,0.0
57.75,-149.25,0.02929,-0.02784,0.0
58.0,-149.25,0.02798,-0.02704,0.0
58.25,-149.25,0.02657,-0.02626,0.0
58.5,-149.25,0.02508,-0.02546,0.0
58.75,-149.25,0.02351,-0.02465,0.0
59.0,-149.25,0.02186,-0.02376,0.0
