nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
53.25,-162.0,-0.02061,-0.00441,0.0
53.5,-162.0,-0.02053,-0.00444,0.0
53.75,-162.0,-0.02223,-0.01143,0.0
54.0,-162.0,-0.02204,-0.01158,0.0
54.25,-162.0,-0.02182,-0.01186,0.0
54.5,-162.0,-0.02157,-0.01224,0.0
54.75,-162.0,-0.02128,-0.01259,0.0
55.0,-162.0,-0.02096,-0.0127,0.0
55.25,-162.0,-0.02071,-0.01245,0.0
55.5,-162.0,-0.02064,-0.01211,0.0
55.75,-162.0,-0.02057,-0.0118,0.0
56.0,-162.0,-0.02353,-0.00709,0.0
56.25,-162.0,-0.02355,-0.00686,0.0
56.5,-162.0,-0.02358,-0.00666,0.0
56.75,-162.0,-0.02361,-0.00648,0.0
57.0,-162.0,-0.02363,-0.00632,0.0
57.25,-162.0,-0.0237,-0.00611,0.0
57.5,-162.0,-0.02377,-0.00589,0.0
57.75,-162.0,-0.02384,-0.00566,0.0
58.0,-162.0,-0.02392,-0.00541,0.0
58.25,-162.0,-0.02405,-0.00517,0.0
58.5,-162.0,-0.02418,-0.00492,0.0
58.75,-162.0,-0.02432,-0.00467,0.0
59.0,-162.0,-0.02448,-0.00441,0.0
59.25,-162.0,-0.02465,-0.00423,0.0
59.5,-162.0,-0.02483,-0.00405,0.0
59.75,-162.0,-0.02502,-0.00388,0.0
60.0,-162.0,-0.02521,-0.00371,0.0
60.25,-162.0,-0.02537,-0.00363,0.0
60.5,-162.0,-0.02554,-0.00357,0.0
60.75,-162.0,-0.02571,-0.00351,0.0
61.0,-162.0,-0.02587,-0.00345,0.0
61.25,-162.0,-0.02599,-0.00348,0.0
61.5,-162.0,-0.02611,-0.00351,0.0
61.75,-162.0,-0.02623,-0.00355,0.0
62.0,-162.0,-0.02147,-0.00263,0.0
62.25,-162.0,-0.02153,-0.00275,0.0
62.5,-162.0,-0.02159,-0.00287,0.0
62.75,-162.0,-0.02164,-0.00299,0.0
63.0,-162.0,-0.02169,-0.00312,0.0
63.25,-162.0,-0.0217,-0.00326,0.0
63.5,-162.0,-0.0217,-0.0034,0.0
63.75,-162.0,-0.0217,-0.00354,0.0
64.0,-162.0,-0.0217,-0.00368,0.0
64.25,-162.0,-0.02166,-0.0038,0.0
64.5,-162.0,-0.02163,-0.00393,0.0
64.75,-162.0,-0.02159,-0.00405,0.0
65.0,-162.0,-0.02156,-0.00417,0.0
65.25,-162.0,-0.02151,-0.00427,0.0
65.5,-162.0,-0.02146,-0.00436,0.0
65.75,-162.0,-0.02142,-0.00446,0.0
53.25,-161.75,-0.02051,-0.00443,0.0
53.5,-161.75,-0.02035,-0.00446,0.0
53.75,-161.75,-0.02194,-0.01149,0.0
54.0,-161.75,-0.02161,-0.01169,0.0
54.25,-161.75,-0.02129,-0.01203,0.0
54.5,-161.75,-0.02102,-0.01249,0.0
54.75,-161.75,-0.02075,-0.01292,0.0
55.0,-161.75,-0.02042,-0.01307,0.0
55.25,-161.75,-0.02022,-0.01278,0.0
55.5,-161.75,-0.02025,-0.01243,0.0
55.75,-161.75,-0.02019,-0.0121,0.0
56.0,-161.75,-0.02312,-0.00737,0.0
56.25,-161.75,-0.02316,-0.0071,0.0
56.5,-161.75,-0.02322,-0.00687,0.0
56.75,-161.75,-0.02328,-0.00668,0.0
57.0,-161.75,-0.02333,-0.0065,0.0
57.25,-161.75,-0.02343,-0.00627,0.0
57.5,-161.75,-0.02352,-0.00603,0.0
57.75,-161.75,-0.02362,-0.00577,0.0
58.0,-161.75,-0.02372,-0.0055,0.0
58.25,-161.75,-0.02388,-0.00524,0.0
58.5,-161.75,-0.02404,-0.00497,0.0
58.75,-161.75,-0.0242,-0.0047,0.0
59.0,-161.75,-0.02438,-0.00442,0.0
59.25,-161.75,-0.02457,-0.00423,0.0
